Date,Open,High,Low,Close,Volume
2009-11-11,590.6,596.93,588.25,592.71,42867000
2009-11-12,592.23,595.79,579.83,580.32,41602500
2009-11-13,581.2,588.06,576.73,586.28,37926100
2009-11-16,588.65,605.44,588.65,602.87,45658500
2009-11-17,602.69,603.39,597.24,602.34,38240700
2009-11-18,602.4,602.55,596.08,600.15,42933400
2009-11-19,596.69,596.69,581.87,585.68,41780300
2009-11-20,585.25,586.6,580.68,584.68,37512300
2009-11-23,589.48,601.36,589.47,594.81,38279200
2009-11-24,594.84,594.84,586.22,592.58,37008200
2009-11-25,593.66,595.11,592.05,592.19,30363500
2009-11-27,585.13,585.13,577.21,577.21,23629100
2009-11-30,576.94,580.39,567.98,579.73,38955200
2009-12-01,582.99,590.8,582.99,589.2,42493100
2009-12-02,589.49,599.92,589.42,596.09,39413400
2009-12-03,597.74,601.59,588.28,588.78,48100300
2009-12-04,590.0,606.77,590.0,602.79,57811400
2009-12-07,602.11,606.2,600.43,603.56,41033600
2009-12-08,603.27,603.27,593.84,597.7,47480300
2009-12-09,598.0,598.76,592.71,598.03,41154100
2009-12-10,599.61,601.96,593.06,595.38,39964900
2009-12-11,597.15,600.55,594.05,600.37,37910900
2009-12-14,602.57,609.79,599.17,609.79,45484900
2009-12-15,609.75,612.79,606.31,606.31,50451000
2009-12-16,609.2,613.71,608.18,611.21,48298200
2009-12-17,608.36,609.01,600.96,604.25,76150700
2009-12-18,606.73,610.57,602.29,610.57,63258900
2009-12-21,611.66,618.91,611.66,618.6,39773400
2009-12-22,619.26,624.21,618.86,623.6,36411300
2009-12-23,625.33,632.02,624.7,630.98,31668700
2009-12-24,632.36,634.15,632.23,634.07,12677100
2009-12-28,635.2,635.99,630.94,633.75,27164000
2009-12-29,634.04,634.55,632.4,633.18,24910200
2009-12-30,630.98,634.09,627.56,633.41,22773000
2009-12-31,633.1,635.2,625.13,625.39,20769900
2010-01-04,628.11,640.1,628.11,640.1,39914000
2010-01-05,639.69,641.89,635.95,638.49,24910200
2010-01-06,638.29,641.26,636.4,637.95,49726600
2010-01-07,638.11,642.07,632.74,641.97,52706800
2010-01-08,640.34,644.69,639.56,644.56,43895900
2010-01-11,647.32,648.4,641.39,643.99,42557800
2010-01-12,639.96,641.14,633.62,635.5,47161600
2010-01-13,637.15,644.79,633.26,643.56,41703600
2010-01-14,643.56,647.87,642.16,646.43,39152000
2010-01-15,647.57,648.12,633.69,637.96,47587300
2010-01-19,637.94,649.15,637.94,649.15,47248300
2010-01-20,645.78,645.78,633.02,639.61,48105600
2010-01-21,640.15,643.77,627.64,628.36,68742900
2010-01-22,627.7,630.6,615.52,617.12,62086500
2010-01-25,618.75,621.78,614.18,618.11,44813900
2010-01-26,616.43,619.98,611.92,612.16,47319100
2010-01-27,610.29,618.76,607.92,618.38,53191200
2010-01-28,619.65,620.18,603.26,607.93,54524000
2010-01-29,610.0,616.03,600.53,602.04,54128500
2010-02-01,602.22,609.27,602.22,609.25,40776100
2010-02-02,609.79,615.6,607.35,614.05,47495400
2010-02-03,612.26,615.74,606.64,610.66,42854500
2010-02-04,610.63,610.63,589.68,589.68,58596900
2010-02-05,590.1,592.99,580.49,592.98,64389000
2010-02-08,592.72,595.29,586.37,586.49,40898200
2010-02-09,591.7,597.39,588.21,595.17,51142600
2010-02-10,593.29,596.83,587.43,595.82,42514500
2010-02-11,594.3,605.6,590.61,605.46,44008700
2010-02-12,600.92,610.72,598.03,610.72,41606800
2010-02-16,613.8,620.84,611.58,620.84,40807700
2010-02-17,622.41,625.17,620.33,624.83,42592300
2010-02-18,623.6,629.32,622.89,629.32,38786200
2010-02-19,628.64,632.84,626.6,631.62,39442800
2010-02-22,632.83,633.55,630.46,632.25,38144400
2010-02-23,631.31,631.52,623.77,625.07,45210500
2010-02-24,625.82,632.28,625.75,630.43,41683600
2010-02-25,624.81,630.46,620.61,630.46,45211300
2010-02-26,630.76,630.81,625.16,628.56,39451900
2010-03-01,630.61,642.65,630.61,642.65,38476400
2010-03-02,643.43,650.26,643.43,648.31,41346800
2010-03-03,649.55,653.88,647.64,649.26,39513200
2010-03-04,650.25,652.51,648.18,652.47,39450100
2010-03-05,654.87,666.02,654.87,666.02,41330000
2010-03-08,665.96,668.16,664.99,667.11,37746800
2010-03-09,665.26,673.43,664.6,669.63,51855700
2010-03-10,670.09,677.47,669.86,674.93,54691200
2010-03-11,671.67,677.22,668.9,677.22,46690600
2010-03-12,678.9,678.9,672.57,676.59,49281600
2010-03-15,675.35,676.21,669.4,674.41,41641100
2010-03-16,674.64,679.58,673.05,679.58,43697700
2010-03-17,680.36,686.94,680.23,683.98,49632000
2010-03-18,682.07,685.97,680.78,681.61,42345100
2010-03-19,682.4,683.62,671.17,673.89,52124100
2010-03-22,669.88,683.29,667.49,682.91,42616800
2010-03-23,683.13,690.85,680.63,690.3,44116400
