Dates,Close
30-10-14,1198.85
31-10-14,1172.94
03-11-14,1165.63
04-11-14,1168.39
05-11-14,1140.54
06-11-14,1141.92
07-11-14,1177.97
10-11-14,1151.47
11-11-14,1164.33
12-11-14,1162.6
13-11-14,1162.55
14-11-14,1188.75
17-11-14,1186.57
18-11-14,1197.08
19-11-14,1182.68
20-11-14,1193.79
21-11-14,1201.55
24-11-14,1197.14
25-11-14,1200.98
26-11-14,1197.87
27-11-14,1192.67
28-11-14,1167.38
01-12-14,1212.1
02-12-14,1198.28
03-12-14,1209.43
04-12-14,1205.27
05-12-14,1192.35
08-12-14,1203.51
09-12-14,1231.06
10-12-14,1226.31
11-12-14,1227.72
12-12-14,1222.59
15-12-14,1193.23
16-12-14,1197.01
17-12-14,1189.71
18-12-14,1198.57
19-12-14,1195.74
22-12-14,1176.44
23-12-14,1176.57
24-12-14,1173.8
25-12-14,1173.8
26-12-14,1196
29-12-14,1183.29
30-12-14,1200.55
31-12-14,1184.37
01-01-15,1181.98
02-01-15,1188.39
05-01-15,1204.86
06-01-15,1218.58
07-01-15,1211.41
08-01-15,1208.79
09-01-15,1223.25
12-01-15,1233.31
13-01-15,1230.64
14-01-15,1228.72
15-01-15,1262.75
16-01-15,1280.45
19-01-15,1275.65
20-01-15,1295.32
21-01-15,1293.09
22-01-15,1302.25
23-01-15,1294.08
26-01-15,1281.4
27-01-15,1292.34
28-01-15,1284.49
29-01-15,1257.27
30-01-15,1283.79
02-02-15,1274.41
03-02-15,1260.52
04-02-15,1269.35
05-02-15,1264.82
06-02-15,1234.04
09-02-15,1239.03
10-02-15,1233.55
11-02-15,1218.83
12-02-15,1221.98
13-02-15,1229.76
16-02-15,1232.55
17-02-15,1209.89
18-02-15,1212.42
19-02-15,1206.84
20-02-15,1201.94
23-02-15,1201.83
24-02-15,1200.53
25-02-15,1205
26-02-15,1209.49
27-02-15,1213.18
02-03-15,1206.83
03-03-15,1203.74
04-03-15,1200.34
05-03-15,1198.4
06-03-15,1167.29
09-03-15,1167.21
10-03-15,1161.84
11-03-15,1155.31
12-03-15,1153.73
13-03-15,1158.48
16-03-15,1154.81
17-03-15,1149.57
18-03-15,1167.61
19-03-15,1171.18
20-03-15,1182.54
23-03-15,1189.54
24-03-15,1193.28
25-03-15,1195.47
26-03-15,1204.81
27-03-15,1198.55
30-03-15,1186.07
31-03-15,1183.57
01-04-15,1203.98
02-04-15,1202.61
03-04-15,1206.91
06-04-15,1214.84
07-04-15,1209.22
08-04-15,1202.57
09-04-15,1194.81
10-04-15,1207.59
13-04-15,1198.88
14-04-15,1192.78
15-04-15,1202.58
16-04-15,1198.55
17-04-15,1204.22
20-04-15,1195.89
21-04-15,1202.41
22-04-15,1187.13
23-04-15,1193.97
24-04-15,1179
27-04-15,1202.15
28-04-15,1212.17
29-04-15,1204.71
30-04-15,1184.37
01-05-15,1178.46
04-05-15,1188.33
05-05-15,1193.34
06-05-15,1192.24
07-05-15,1184.51
08-05-15,1188.39
11-05-15,1183.97
12-05-15,1193.94
13-05-15,1215.75
14-05-15,1221.14
15-05-15,1224.8
18-05-15,1225.51
19-05-15,1207.86
20-05-15,1209.8
21-05-15,1204.86
22-05-15,1206.21
25-05-15,1206.6
26-05-15,1187.3
27-05-15,1188.09
28-05-15,1188.4
29-05-15,1190.58
01-06-15,1189.2
02-06-15,1193.01
03-06-15,1185.17
04-06-15,1176.89
05-06-15,1171.94
08-06-15,1174.07
09-06-15,1176.8
10-06-15,1186.06
11-06-15,1182.01
12-06-15,1181.63
15-06-15,1186.43
16-06-15,1182.07
17-06-15,1185.55
18-06-15,1201.94
19-06-15,1200.27
22-06-15,1185.98
23-06-15,1178.63
24-06-15,1175.4
25-06-15,1173.17
26-06-15,1175.52
29-06-15,1179.83
30-06-15,1172.35
01-07-15,1168.79
02-07-15,1166.26
03-07-15,1169.1
06-07-15,1170.33
07-07-15,1155.26
08-07-15,1158.33
09-07-15,1159.43
10-07-15,1163.74
13-07-15,1157.98
14-07-15,1156.06
15-07-15,1149.45
16-07-15,1145.39
17-07-15,1134.14
20-07-15,1096.5
21-07-15,1101.25
22-07-15,1094.24
23-07-15,1090.7
24-07-15,1099.11
27-07-15,1093.98
28-07-15,1095.48
29-07-15,1096.85
30-07-15,1088.76
31-07-15,1095.8
03-08-15,1086.79
04-08-15,1087.7
05-08-15,1085.03
06-08-15,1089.55
07-08-15,1094.15
10-08-15,1104.51
11-08-15,1108.95
12-08-15,1124.47
13-08-15,1115.1
14-08-15,1115.07
17-08-15,1117.7
18-08-15,1117.71
19-08-15,1133.88
20-08-15,1152.2
21-08-15,1160.77
24-08-15,1155.11
25-08-15,1140.49
26-08-15,1125.26
27-08-15,1125
28-08-15,1133.6
31-08-15,1134.93
01-09-15,1140.27
02-09-15,1134.05
03-09-15,1125.46
04-09-15,1121.85
07-09-15,1119.35
08-09-15,1121.55
09-09-15,1107.85
10-09-15,1110.75
11-09-15,1107.95
14-09-15,1109.1
15-09-15,1105.35
16-09-15,1119.52
17-09-15,1131.51
18-09-15,1139.23
21-09-15,1133.44
22-09-15,1124.76
23-09-15,1130.3
24-09-15,1153.95
25-09-15,1146.2
28-09-15,1131.95
29-09-15,1127.43
30-09-15,1115.09
01-10-15,1113.61
02-10-15,1138.6
05-10-15,1135.75
06-10-15,1147.24
07-10-15,1145.54
08-10-15,1139.01
09-10-15,1156.53
12-10-15,1163.85
13-10-15,1168.84
14-10-15,1184.13
15-10-15,1183.1
16-10-15,1177.3
19-10-15,1170.79
20-10-15,1176.04
21-10-15,1167.18
22-10-15,1166.05
23-10-15,1164.45
26-10-15,1163.04
27-10-15,1166.88
28-10-15,1156.1
29-10-15,1145.97
30-10-15,1142.11
02-11-15,1133.84
03-11-15,1117.79
04-11-15,1107.9
05-11-15,1103.92
06-11-15,1089.8
09-11-15,1092.31
10-11-15,1089.67
11-11-15,1086.26
12-11-15,1085.2
13-11-15,1083.91
16-11-15,1082.76
17-11-15,1070.3
18-11-15,1070.73
19-11-15,1082.21
20-11-15,1078.01
23-11-15,1069.18
24-11-15,1075.65
25-11-15,1071.12
26-11-15,1072.33
27-11-15,1057.45
30-11-15,1064.77
01-12-15,1069.29
02-12-15,1053.7
03-12-15,1062.11
04-12-15,1086.44
07-12-15,1071.34
08-12-15,1074.96
09-12-15,1072.78
10-12-15,1071.58
11-12-15,1074.77
14-12-15,1059.86
15-12-15,1061.22
16-12-15,1072.32
17-12-15,1051.1
18-12-15,1066.25
21-12-15,1078.4
22-12-15,1072.43
23-12-15,1070.5
24-12-15,1076.1
25-12-15,1076.1
28-12-15,1069.08
29-12-15,1069.11
30-12-15,1061.44
31-12-15,1061.1
01-01-16,1061.1
04-01-16,1074.61
05-01-16,1077.68
06-01-16,1093.67
07-01-16,1108.97
08-01-16,1104.15
11-01-16,1094.2
12-01-16,1086.56
13-01-16,1093.59
14-01-16,1078.38
15-01-16,1088.88
18-01-16,1089.68
19-01-16,1087.41
20-01-16,1100.92
21-01-16,1101.2
22-01-16,1097.95
25-01-16,1107.9
26-01-16,1119.91
27-01-16,1124.97
28-01-16,1115.33
29-01-16,1118.21
01-02-16,1128.41
02-02-16,1129.01
03-02-16,1142.63
04-02-16,1155.59
05-02-16,1173.4
08-02-16,1189.23
09-02-16,1189.13
10-02-16,1197.12
11-02-16,1246.7
12-02-16,1237.97
15-02-16,1209.3
16-02-16,1200.44
17-02-16,1208.5
18-02-16,1230.87
19-02-16,1226.8
22-02-16,1208.63
23-02-16,1226.85
24-02-16,1228.75
25-02-16,1232.91
26-02-16,1223.46
29-02-16,1238.67
01-03-16,1232.15
02-03-16,1239.98
03-03-16,1264.25
04-03-16,1258.95
07-03-16,1267.33
08-03-16,1261.44
09-03-16,1253.23
10-03-16,1272.25
11-03-16,1249.45
14-03-16,1235.27
15-03-16,1232.38
16-03-16,1262.57
17-03-16,1257.97
18-03-16,1255.4
21-03-16,1243.75
22-03-16,1248.32
23-03-16,1220.11
24-03-16,1216.82
25-03-16,1217.05
28-03-16,1221.71
29-03-16,1242.2
30-03-16,1225.02
31-03-16,1232.75
01-04-16,1222.6
04-04-16,1215.43
05-04-16,1231.35
06-04-16,1222.47
07-04-16,1240.45
08-04-16,1240.69
11-04-16,1257.88
12-04-16,1255.63
13-04-16,1242.47
14-04-16,1227.89
15-04-16,1233.99
18-04-16,1232.49
19-04-16,1250.19
20-04-16,1244.25
21-04-16,1248.05
22-04-16,1233.03
25-04-16,1237.97
26-04-16,1243.4
27-04-16,1245.83
28-04-16,1266.26
29-04-16,1293.53
02-05-16,1291.55
03-05-16,1286.5
04-05-16,1279.68
05-05-16,1277.74
06-05-16,1288.99
09-05-16,1263.88
10-05-16,1265.84
11-05-16,1277.21
12-05-16,1263.68
13-05-16,1273.45
16-05-16,1274.16
17-05-16,1278.95
18-05-16,1258.5
19-05-16,1254.75
20-05-16,1251.98
23-05-16,1249.13
24-05-16,1227.21
25-05-16,1224.41
26-05-16,1219.8
27-05-16,1212.38
30-05-16,1204.95
31-05-16,1215.32
01-06-16,1212.98
02-06-16,1211
03-06-16,1244.2
06-06-16,1245.34
07-06-16,1243.81
08-06-16,1262.8
09-06-16,1269.8
10-06-16,1274.24
13-06-16,1283.86
14-06-16,1285.72
15-06-16,1291.75
16-06-16,1278.43
17-06-16,1298.65
20-06-16,1289.9
21-06-16,1268.12
22-06-16,1266.22
23-06-16,1256.84
24-06-16,1315.75
27-06-16,1324.6
28-06-16,1311.79
29-06-16,1319.15
30-06-16,1321.9
01-07-16,1341.35
04-07-16,1350.79
05-07-16,1356.45
06-07-16,1363.78
07-07-16,1360.45
08-07-16,1366.33
11-07-16,1355.4
12-07-16,1333.1
13-07-16,1342.64
14-07-16,1335.23
15-07-16,1337.45
18-07-16,1328.85
19-07-16,1332.01
20-07-16,1316.06
21-07-16,1331.43
22-07-16,1322.73
25-07-16,1315.6
26-07-16,1320.26
27-07-16,1340.08
28-07-16,1335.75
29-07-16,1351.28
01-08-16,1353.15
02-08-16,1363.57
03-08-16,1358.18
04-08-16,1361.15
05-08-16,1336
08-08-16,1335.31
09-08-16,1340.73
10-08-16,1346.61
11-08-16,1338.78
12-08-16,1335.97
15-08-16,1339.4
16-08-16,1346.24
17-08-16,1348.73
18-08-16,1352.36
19-08-16,1341.47
22-08-16,1339.09
23-08-16,1337.56
24-08-16,1324.13
25-08-16,1321.97
26-08-16,1321.18
29-08-16,1323.38
30-08-16,1311.11
31-08-16,1308.97
01-09-16,1313.89
02-09-16,1325.21
05-09-16,1327.08
06-09-16,1350
07-09-16,1345.18
08-09-16,1338.3
09-09-16,1327.83
12-09-16,1327.82
13-09-16,1319.05
14-09-16,1322.94
15-09-16,1314.75
16-09-16,1310.35
19-09-16,1313.19
20-09-16,1314.84
21-09-16,1335.17
22-09-16,1337.07
23-09-16,1337.56
26-09-16,1337.95
27-09-16,1327.32
28-09-16,1321.54
29-09-16,1320.37
30-09-16,1315.87
03-10-16,1311.6
04-10-16,1268.44
05-10-16,1266.85
06-10-16,1254.38
07-10-16,1257.08
10-10-16,1259.65
11-10-16,1252.8
12-10-16,1255.25
13-10-16,1258.09
14-10-16,1251.03
17-10-16,1255.85
18-10-16,1262.5
19-10-16,1269.23
20-10-16,1265.76
21-10-16,1266.46
24-10-16,1264.44
25-10-16,1273.87
26-10-16,1267.1
27-10-16,1268.4
28-10-16,1275.47
31-10-16,1277.21
01-11-16,1288.2
02-11-16,1296.81
03-11-16,1302.7
04-11-16,1305.06
07-11-16,1281.64
08-11-16,1275.68
09-11-16,1277.98
10-11-16,1259.2
11-11-16,1227.64
14-11-16,1221.35
15-11-16,1228.73
16-11-16,1224.99
17-11-16,1216.42
18-11-16,1207.89
21-11-16,1214.23
22-11-16,1212.32
23-11-16,1188.32
24-11-16,1181.67
25-11-16,1183.56
28-11-16,1194
29-11-16,1188.31
30-11-16,1173.2
01-12-16,1171.69
02-12-16,1177.43
05-12-16,1170.38
06-12-16,1169.85
07-12-16,1173.98
08-12-16,1170.78
09-12-16,1159.86
12-12-16,1162.22
13-12-16,1158.54
14-12-16,1142.95
15-12-16,1128.5
16-12-16,1134.88
19-12-16,1138.21
20-12-16,1132.35
21-12-16,1131.61
22-12-16,1128.38
23-12-16,1133.3
26-12-16,1133.3
27-12-16,1138.78
28-12-16,1141.67
29-12-16,1158.19
30-12-16,1147.5
02-01-17,1147.5
03-01-17,1158.84
04-01-17,1163.65
05-01-17,1180.12
06-01-17,1172.63
09-01-17,1181.1
10-01-17,1187.88
11-01-17,1191.62
12-01-17,1195.43
13-01-17,1197.34
16-01-17,1202.73
17-01-17,1217.07
18-01-17,1204.3
19-01-17,1204.85
20-01-17,1210.32
23-01-17,1218.23
24-01-17,1208.94
25-01-17,1200.69
26-01-17,1188.5
27-01-17,1191.2
30-01-17,1195.7
31-01-17,1210.72
01-02-17,1209.84
02-02-17,1215.96
03-02-17,1220.3
06-02-17,1235.53
07-02-17,1233.85
08-02-17,1241.53
09-02-17,1228.36
10-02-17,1233.62
13-02-17,1225.26
14-02-17,1228.13
15-02-17,1233.7
16-02-17,1239.04
17-02-17,1234.6
20-02-17,1238.47
21-02-17,1235.74
22-02-17,1237.44
23-02-17,1249.56
24-02-17,1257.19
27-02-17,1252.73
28-02-17,1248.44
01-03-17,1249.69
02-03-17,1234.25
03-03-17,1234.81
06-03-17,1225.29
07-03-17,1215.86
08-03-17,1208.31
09-03-17,1201.24
10-03-17,1204.64
13-03-17,1204.3
14-03-17,1199.12
15-03-17,1219.88
16-03-17,1226.61
17-03-17,1229.26
20-03-17,1234.24
21-03-17,1244.81
22-03-17,1248.84
23-03-17,1245.2
24-03-17,1243.57
27-03-17,1254.86
28-03-17,1251.82
29-03-17,1253.45
30-03-17,1242.64
31-03-17,1249.2
03-04-17,1253.5
04-04-17,1256.28
05-04-17,1255.76
06-04-17,1251.7
07-04-17,1254.53
10-04-17,1254.68
11-04-17,1274.86
12-04-17,1286.78
13-04-17,1287.92
14-04-17,1285.69
17-04-17,1284.71
18-04-17,1289.76
19-04-17,1280.21
20-04-17,1281.9
21-04-17,1284.44
24-04-17,1276.31
25-04-17,1264.13
26-04-17,1269.22
27-04-17,1264.3
28-04-17,1268.28
01-05-17,1256.58
02-05-17,1256.76
03-05-17,1238.17
04-05-17,1228.16
05-05-17,1228.01
08-05-17,1226.23
09-05-17,1221.23
10-05-17,1219.1
11-05-17,1225.04
12-05-17,1228.43
15-05-17,1230.82
16-05-17,1237.24
17-05-17,1261.36
18-05-17,1247.07
19-05-17,1255.93
22-05-17,1260.63
23-05-17,1251.22
24-05-17,1258.73
