Date,Open,High,Low,Close,Volume
2009-11-10,9904.68,9979.46,9857.1,9870.73,130400
2009-11-11,9890.18,9949.71,9849.99,9871.68,122700
2009-11-12,9921.45,9943.57,9788.49,9804.49,123600
2009-11-13,9793.19,9805.2,9719.38,9770.31,122900
2009-11-16,9784.14,9802.53,9725.81,9791.18,140800
2009-11-17,9834.58,9847.64,9715.28,9729.93,138700
2009-11-18,9723.23,9788.81,9631.83,9676.8,170600
2009-11-19,9691.86,9691.86,9496.07,9549.47,203000
2009-11-20,9460.21,9513.6,9423.66,9497.68,163200
2009-11-24,9511.0,9511.0,9397.79,9401.58,136500
2009-11-25,9381.9,9453.7,9366.33,9441.64,145200
2009-11-26,9354.8,9457.24,9324.99,9383.24,146600
2009-11-27,9257.2,9257.2,9076.41,9081.52,176400
2009-11-30,9189.17,9353.74,9162.18,9345.55,185700
2009-12-01,9281.82,9572.2,9233.2,9572.2,212800
2009-12-02,9551.79,9643.32,9514.15,9608.94,167300
2009-12-03,9707.02,9977.67,9707.02,9977.67,192000
2009-12-04,10019.24,10022.59,9902.83,10022.59,180000
2009-12-07,10131.9,10204.58,10106.31,10167.6,164300
2009-12-08,10079.81,10149.32,10079.81,10140.47,150000
2009-12-09,10048.94,10048.94,9985.97,10004.72,149000
2009-12-10,9964.05,10035.92,9834.22,9862.82,162000
2009-12-11,9958.0,10107.87,9916.21,10107.87,222000
2009-12-14,10126.61,10126.61,10009.6,10105.68,161300
2009-12-15,10053.45,10111.76,10033.9,10083.48,159900
2009-12-16,10179.33,10222.22,10117.12,10177.41,225200
2009-12-17,10199.92,10260.12,10163.8,10163.8,148200
2009-12-18,10110.64,10157.25,10027.85,10142.05,151800
2009-12-21,10196.71,10215.49,10183.47,10183.47,120400
2009-12-22,10256.0,10378.03,10235.22,10378.03,171900
2009-12-24,10413.37,10558.41,10413.37,10536.92,144200
2009-12-25,10546.97,10546.97,10476.65,10494.71,82900
