Date,Open,High,Low,Close,Volume
2014-10-29,15442.39,15595.29,15394.79,15553.91,148800
2014-10-30,15596.5,15701.04,15584.83,15658.2,184100
2014-10-31,15817.14,16533.91,15817.14,16413.76,268500
2014-11-04,16732.85,17127.66,16720.99,16862.47,335600
2014-11-05,16785.44,16995.02,16778.28,16937.32,232200
2014-11-06,16993.46,17045.94,16725.45,16792.48,199000
2014-11-07,16934.04,16938.2,16824.08,16880.38,153300
2014-11-10,16758.27,16818.05,16713.37,16780.53,125600
2014-11-11,16869.49,17160.12,16855.3,17124.11,154000
2014-11-12,17253.12,17443.74,17170.0,17197.05,193300
2014-11-13,17192.0,17400.77,17099.95,17392.79,159800
2014-11-14,17520.54,17520.54,17300.19,17490.83,196000
2014-11-17,17381.38,17409.32,16907.43,16973.8,192800
2014-11-18,17188.84,17356.76,17186.5,17344.06,158100
2014-11-19,17384.31,17472.57,17280.76,17288.75,170100
2014-11-20,17407.69,17407.69,17270.7,17300.86,144000
2014-11-21,17285.72,17381.59,17108.2,17357.51,156300
2014-11-25,17490.39,17490.39,17372.71,17407.62,170600
2014-11-26,17347.97,17432.57,17335.99,17383.58,136500
2014-11-27,17310.49,17346.85,17212.48,17248.5,129100
2014-11-28,17340.16,17471.9,17330.84,17459.85,149100
2014-12-01,17475.1,17649.02,17474.27,17590.1,125900
2014-12-02,17481.06,17687.7,17476.42,17663.22,125200
2014-12-03,17772.15,17881.76,17696.36,17720.43,158700
2014-12-04,17881.91,17912.59,17813.01,17887.21,142200
2014-12-05,17821.85,17922.29,17759.36,17920.45,128900
2014-12-08,18004.66,18030.83,17869.74,17935.64,134700
2014-12-09,17820.24,17892.16,17773.3,17813.38,140400
2014-12-10,17623.35,17658.14,17308.82,17412.58,169600
2014-12-11,17180.49,17289.73,17043.63,17257.4,151400
2014-12-12,17317.69,17526.19,17298.19,17371.58,214500
2014-12-15,17111.49,17258.32,17037.21,17099.4,146400
2014-12-16,16862.42,16895.39,16714.83,16755.32,160300
2014-12-17,16689.34,16891.02,16672.94,16819.73,161300
2014-12-18,17142.95,17274.23,17136.41,17210.05,186300
2014-12-19,17511.01,17621.4,17471.6,17621.4,175800
2014-12-22,17685.53,17692.58,17572.62,17635.14,128500
2014-12-24,17842.04,17875.41,17800.42,17854.23,126400
2014-12-25,17804.84,17832.47,17773.59,17808.75,86400
2014-12-26,17778.91,17843.73,17769.01,17818.96,86500
2014-12-29,17914.55,17914.55,17525.66,17729.84,115200
2014-12-30,17702.12,17713.76,17450.77,17450.77,98300
2015-01-05,17325.68,17540.92,17219.22,17408.71,116500
