Date,Y,Open,High,Low,Close,Volume,NYSE_Close,RUSS_Close,NASDAQ_Close,SP_Close,FTSE_Close,GOLD_Close,N225_Close,USDCNY_Close,USDEUR_Close,USDGBP_Close,USDJPY_Close
12-11-09,0.007133137,0.004129090,-0.001967711,-0.007336919,-0.009155341,183810000,-0.012984757,-0.021125565,-0.008285650,-0.010312341,0.001840032,-0.012337497,-0.006829608,0.000029300,0.008504341,-0.000663240,0.004106782
13-11-09,0.013202026,-0.008978143,-0.001546492,0.002041912,0.007133137,167280000,0.008015306,0.010217816,0.008737807,0.005722896,0.003764345,0.013545038,-0.003492249,-0.000044000,-0.003571964,-0.005321815,-0.006891213
16-11-09,0.002922612,0.006809575,0.012396536,0.007372655,0.013202026,202570000,0.016328298,0.027904094,0.013729878,0.014363915,0.016162763,0.018291438,0.002133785,0.000029300,-0.004932377,-0.009718575,-0.007276016
17-11-09,-0.001065006,0.013277866,0.000376574,0.009165606,0.002922612,158320000,-0.000420146,-0.000879515,0.002694458,0.000919076,-0.006860195,0.001824018,-0.006275279,0.000190696,0.007166349,0.000841538,0.002468583
18-11-09,-0.009043959,0.002064228,-0.000528010,-0.000182414,-0.001065006,166340000,-0.001016543,-0.003642446,-0.004839761,-0.000468443,-0.000711078,0.003690461,-0.005475434,-0.000132016,-0.005220386,0.005034412,0.001881005
19-11-09,-0.001383011,-0.000090200,-0.000702848,-0.010088264,-0.009043959,196250000,-0.015207674,-0.024406059,-0.016699392,-0.013516784,-0.014024999,-0.000873286,-0.013245613,0.000132016,0.002539020,0.005009194,-0.005586168
20-11-09,0.012787434,-0.009388483,-0.007955531,0.001516968,-0.001383011,230430000,-0.004671145,-0.001708876,-0.005010631,-0.003220084,-0.003099127,0.005228314,-0.005438097,-0.000029300,0.003573559,0.008128103,-0.000787712
23-11-09,-0.001650973,-0.000753582,0.014674184,0.004698011,0.012787434,182350000,0.014275546,0.017177338,0.013868641,0.013523927,0.019629363,0.013295542,-0.005438097,0.000601204,-0.006561312,-0.005300658,0.000787712
24-11-09,0.002937110,0.012625232,-0.003975264,0.003823090,-0.001650973,163750000,-0.002238694,-0.003756142,-0.003143709,-0.000533480,-0.005899170,0.002920260,-0.010169798,-0.000425204,-0.000299267,0.001493652,-0.003459295
25-11-09,-0.014872482,-0.001751563,0.002628080,0.005905548,0.002937110,130080000,0.008590300,-0.000658356,0.003162091,0.004494025,0.007634196,0.018847945,0.004251934,-0.000044000,-0.010833690,-0.007323601,-0.014015336
27-11-09,0.003381306,0.001845327,-0.002794538,-0.018370481,-0.014872482,130290000,-0.022659006,-0.025621378,-0.017434715,-0.017383687,-0.022450403,-0.011843349,-0.038888114,-0.000044000,0.009186120,0.011956303,-0.010124339
30-11-09,0.012177076,-0.013723363,-0.008444285,0.003126689,0.003381306,223580000,0.003144939,0.004356326,0.002876464,0.003785805,-0.010540131,0.001696886,0.028658715,-0.000190676,-0.003303306,0.002966872,-0.002663117
01-12-09,-0.001806516,0.003297251,0.013126086,0.007779051,0.012177076,190220000,0.016739250,0.016203207,0.014447954,0.012002920,0.023137499,0.014208156,0.023962770,0.000176010,-0.003314254,-0.010090235,0.004626960
02-12-09,-0.008312715,0.012166809,0.001164893,0.007515599,-0.001806516,159500000,0.001432679,0.011625978,0.004228549,0.000342636,0.002857252,0.016034435,0.003830851,-0.000234687,0.001357159,-0.002163602,0.010447256
03-12-09,0.002192238,-0.001415460,-0.000560388,-0.006876751,-0.008312715,243970000,-0.009092192,-0.012339063,-0.005456432,-0.008437646,-0.002706667,-0.006932723,0.037655681,-0.000014700,0.000301341,0.006145688,0.007951401
04-12-09,0.000116464,-0.008361474,0.000862810,-0.003701510,0.002192238,460660000,0.003578864,0.023516278,0.009712749,0.005494370,0.001767682,-0.038858693,0.004491949,-0.000014700,0.013913008,0.004625814,0.025295147
