Date,Y,Open,High,Low,Close,Volume,RUSS_Close,NYSE_Close,NASDAQ_Close,SP_Close,FTSE_Close,GOLD_Close,N225_Close,USDCNY_Close,USDEUR_Close,USDGBP_Close,USDJPY_Close
31-10-14,-0.001397139,0.014082251,0.009912414,0.016878448,0.011282161,121610000,0.015232469,0.012321799,0.014048473,0.011663102,0.012744118,-0.021849346,0.047125266,0.000540731,0.001514769,0.000320051,0.003366065
03-11-14,0.001012947,0.010527362,0.000868236,0.007587602,-0.001397139,80030000,-0.002824583,-0.003355554,0.001762742,-0.000118934,-0.008976239,-0.006251704,0.047125266,-0.000294908,0.008790713,0.001598721,0.032679644
04-11-14,0.005775451,-0.001271012,-0.000771090,-0.003552469,0.001012947,81390000,-0.004093137,-0.004692419,-0.003297151,-0.002833812,-0.005254223,0.002365019,0.026970435,0.000917206,0.000624961,-0.000319540,0.007126204
05-11-14,0.003992128,0.000975411,0.005123303,0.006196629,0.005775451,76030000,0.001414797,0.006116187,-0.000631737,0.005684325,0.013099448,-0.024124898,0.004429029,-0.000491256,-0.004633987,-0.001599233,-0.001479342
06-11-14,0.001107936,0.006072716,0.004206940,0.003135007,0.003992128,70670000,0.004095896,0.001797153,0.003834033,0.003768396,0.001848698,0.001209222,-0.008588304,-0.000212952,0.005882738,0.002557546,0.010301009
07-11-14,0.002262725,0.003818523,0.000854972,0.003035465,0.001107936,82860000,0.001245107,0.001938446,-0.001281415,0.000349484,0.002439323,0.031081562,0.005220834,-0.000327708,0.007955294,0.007792041,0.004533774
10-11-14,0.000065856,0.000592128,0.002644530,0.003090108,0.002262725,71430000,0.005312628,0.002572031,0.004112391,0.003115344,0.006692744,-0.022753231,-0.005932715,0.001768347,-0.006458847,-0.002855332,-0.005598402
11-11-14,-0.000153291,0.002652297,0.000926827,0.002130794,0.000065856,52880000,0.000330574,0.001373389,0.001920067,0.000696430,0.002432264,0.011106427,0.020268126,-0.000539997,0.002489111,0.002063002,0.001919001
12-11-14,0.002302001,-0.000618392,-0.000652206,-0.002777249,-0.000153291,75980000,0.005501973,-0.002156799,0.003123496,-0.000701336,-0.002477642,-0.001486938,0.004250445,0.000818063,-0.003735994,-0.004607937,0.008400129
13-11-14,-0.001023024,0.000791518,0.004458831,0.002716968,0.002302001,80540000,-0.009356982,-0.001389237,0.001068915,0.000529726,0.003699095,-0.000043008,0.011317895,0.000277989,0.003735994,0.009983444,-0.001305715
14-11-14,0.000737476,0.001951701,-0.002337034,0.001666048,-0.001023024,72850000,-0.001370662,0.001076804,0.001793209,0.000240246,0.002844267,0.022286467,0.005620991,-0.000228926,-0.003735994,0.004091272,0.002195391
17-11-14,0.002267971,-0.001205046,0.000618010,-0.000362862,0.000737476,70330000,-0.008194944,0.000240766,-0.003748052,0.000735089,0.002641375,-0.001835543,-0.030005765,0.000768332,-0.003374371,0.002352758,0.009212853
18-11-14,-0.000118167,0.000637280,0.003424949,0.001998364,0.002267971,87420000,0.005183112,0.005356268,0.006708341,0.005120799,0.005545149,0.008818466,0.021579106,-0.000850104,0.005617642,0.001565436,-0.002140943
19-11-14,0.001879410,0.002401455,-0.001323066,-0.000994144,-0.000118167,73780000,-0.010816396,-0.001300460,-0.005700500,-0.001502249,-0.001864879,-0.012102208,-0.003194084,-0.000490773,-0.006744967,0.000938086,0.001909942
20-11-14,0.005125956,-0.000463198,0.000461720,-0.001170079,0.001879410,77740000,0.011217929,0.000959505,0.005579279,0.001965150,-0.002646632,0.009350070,0.000700210,-0.000294580,-0.000626841,-0.002973631,0.010884426
21-11-14,0.000440104,0.002469044,0.009793069,0.006631605,0.005125956,140940000,0.001425420,0.007992317,0.002357981,0.005223213,0.010707713,0.006479270,0.003269055,0.000654504,-0.000376294,-0.001411654,0.000744551
24-11-14,-0.000166139,0.005156251,-0.002213142,0.004064294,0.000440104,85510000,0.012308578,0.001421117,0.008855280,0.002859972,-0.003115591,-0.003677011,0.003269055,0.000228975,0.013705672,0.002977825,-0.004169851
25-11-14,0.000718801,0.000360353,-0.000030244,-0.000129271,-0.000166139,88190000,-0.000514059,-0.001091941,0.000706391,-0.001150748,0.000193152,0.003202511,0.002882776,0.002743620,-0.004713479,-0.002977825,0.006011923
