Date,Signal,Open,High,Low,Close,Volume,RUSS_Close,NYSE_Close,NASDAQ_Close,SP_Close,FTSE_Close,GOLD_Close,N225_Close,USDCNY_Close,USDEUR_Close,USDGBP_Close,USDJPY_Close
13-11-14,2,17618.69,17705.48,17583.88,17652.79,80540000,1175.42,10868.92,4680.14,2039.33,6635.5,1162.55,17392.79,6.1162,0.8045,0.6342,115.57
14-11-14,1,17653.11,17664.15,17613.2,17634.74,72850000,1173.81,10880.63,4688.54,2039.82,6654.4,1188.75,17490.83,6.1148,0.8015,0.6368,115.824
17-11-14,1,17631.85,17675.07,17606.81,17647.75,70330000,1164.23,10883.25,4671,2041.32,6672,1186.57,16973.8,6.1195,0.7988,0.6383,116.896
18-11-14,2,17643.09,17735.71,17642.03,17687.82,87420000,1170.28,10941.7,4702.44,2051.8,6709.1,1197.08,17344.06,6.1143,0.8033,0.6393,116.646
19-11-14,1,17685.51,17712.26,17624.5,17685.73,73780000,1157.69,10927.48,4675.71,2048.72,6696.6,1182.68,17288.75,6.1113,0.7979,0.6399,116.869
20-11-14,1,17677.32,17720.44,17603.89,17719,77740000,1170.75,10937.97,4701.87,2052.75,6678.9,1193.79,17300.86,6.1095,0.7974,0.638,118.148
21-11-14,1,17721.02,17894.83,17721.02,17810.06,140940000,1172.42,11025.74,4712.97,2063.5,6750.8,1201.55,17357.51,6.1135,0.7971,0.6371,118.236
24-11-14,2,17812.63,17855.27,17793.19,17817.9,85510000,1186.94,11041.42,4754.89,2069.41,6729.8,1197.14,,6.1149,0.8081,0.639,117.744
25-11-14,1,17819.05,17854.73,17790.89,17814.94,88190000,1186.33,11029.37,4758.25,2067.03,6731.1,1200.98,17407.62,6.1317,0.8043,0.6371,118.454
26-11-14,1,17812.25,17833.76,17791.16,17827.75,67450000,1190.62,11047.91,4787.32,2072.83,6729.2,1197.87,17383.58,6.1265,0.8012,0.6361,117.801
28-11-14,2,17830.55,17893.42,17807.78,17828.24,80470000,1173.23,10955.41,4791.63,2067.56,6722.6,1167.38,17459.85,6.1291,0.8024,0.6359,117.84
01-12-14,1,17827.27,17827.27,17726.55,17776.8,86390000,1154.05,10888.56,4727.35,2053.44,6656.4,1212.1,17590.1,6.1332,0.804,0.6405,118.864
