Date,Close
11-11-09,1100.4156572056083
12-11-09,1088.1958182880824
13-11-09,1100.4912943762845
16-11-09,1116.4126582078993
17-11-09,1123.2171656534895
18-11-09,1125.9051882766278
19-11-09,1117.8579238150012
20-11-09,1126.9940420853334
23-11-09,1142.4749205217595
24-11-09,1148.6703572342453
25-11-09,1172.6887822056085
26-11-09,1175.9604775091593
27-11-09,1162.408425676399
30-11-09,1163.4765356420344
01-12-09,1181.0000909112212
02-12-09,1202.559923385448
03-12-09,1193.2132781964447
04-12-09,1150.6132638780025
07-12-09,1149.3755197485636
08-12-09,1118.339490968495
09-12-09,1117.2641552010264
10-12-09,1124.7448303155738
11-12-09,1109.4677992445547
14-12-09,1123.6687106133977
15-12-09,1122.7745289123666
16-12-09,1141.0456020796062
17-12-09,1099.97658504066
18-12-09,1109.3991637920917
21-12-09,1091.710761730236
22-12-09,1085.6919193762842
23-12-09,1089.5295468104196
24-12-09,1107.8467003041194
25-12-09,1111.9078658253106
28-12-09,1115.3964976981629
29-12-09,1104.017204313283
30-12-09,1105.6629825206144
31-12-09,1107.624264021187
01-01-10,1106.7107030246232
04-01-10,1126.0968184312671
05-01-10,1126.3444673430654
06-01-10,1147.223679828747
07-01-10,1137.5597386775444
08-01-10,1140.2084349833863
11-01-10,1156.1499183739932
12-01-10,1130.9238638207287
13-01-10,1144.1054997027447
14-01-10,1148.7077233568111
15-01-10,1135.6257824919774
18-01-10,1138.0915735859062
19-01-10,1146.6430705790333
20-01-10,1116.4543370452418
21-01-10,1100.5708626752532
22-01-10,1100.2673553728478
25-01-10,1099.7219881048065
26-01-10,1097.3306922857919
27-01-10,1080.903634009732
28-01-10,1082.2825307737642
29-01-10,1074.4672157680368
01-02-10,1097.5098088379107
02-02-10,1106.4094938321837
03-02-10,1103.9046484713585
04-02-10,1058.7200479558949
05-02-10,1060.4768785687243
08-02-10,1058.663075590488
09-02-10,1070.4135667130538
10-02-10,1066.4664304014846
11-02-10,1088.5463745595603
12-02-10,1082.497735527487
15-02-10,1085.9929911116794
16-02-10,1105.1104753613931
17-02-10,1092.2222393934662
18-02-10,1088.9050816042338
19-02-10,1102.106286501141
22-02-10,1097.3587277955282
23-02-10,1080.5245024232486
24-02-10,1073.2729388493656
25-02-10,1079.2616151093885
26-02-10,1089.435894891748
01-03-10,1091.3430519650585
02-03-10,1106.4038695481056
03-03-10,1110.695309983386
04-03-10,1100.4426868447836
05-03-10,1099.0624291128252
08-03-10,1080.171645894039
09-03-10,1075.8778586660892
10-03-10,1064.4528178585292
11-03-10,1062.1738273087012
12-03-10,1052.0884442903734
15-03-10,1058.1289647657459
16-03-10,1074.9731600692967
17-03-10,1067.5472916557803
18-03-10,1073.335320722218
19-03-10,1048.797231518323
22-03-10,1041.7587800578422
